timestamp,features,normalize_features,normalize_target,vol_window,smoothing_type,smoothing_alpha,n_trees,max_depth,min_leaf_fraction,up_threshold,vote_threshold,train_size,test_size,step_size,validation_start_date,total_observations,total_trades,trading_frequency,hit_rate,edge,total_pnl,avg_monthly_pnl,std_monthly_pnl,sharpe_ratio,positive_months_pct,best_month,worst_month,positive_years_pct,target_threshold,recent_iqr_lookback
2025-08-15 13:53:16,"Overnight,3day",True,True,120.0,exponential,0.05,1.0,1.0,0.1,0.1,0.65,1000,100,20,2010-01-01,7210,3271,0.454,0.517,0.097,99.83,1.39,7.06,0.681,0.639,29.29,-17.23,0.833,,
2025-08-15 13:53:47,"Overnight,3day",True,True,120.0,exponential,0.05,10.0,1.0,0.1,0.1,0.65,1000,100,20,2010-01-01,7210,1953,0.271,0.536,0.116,109.3,1.54,7.45,0.716,0.549,39.01,-11.92,0.833,,
2025-08-15 13:56:51,"Overnight,3day,Last10,First20",True,True,120.0,exponential,0.05,50.0,1.0,0.1,0.1,0.65,1000,100,20,2010-01-01,7210,1488,0.206,0.548,0.128,98.28,1.42,6.4,0.77,0.638,34.74,-9.83,0.833,,
2025-08-15 13:57:59,"Overnight,3day,Last10,First20",True,True,120.0,exponential,0.05,200.0,1.0,0.1,0.1,0.65,1000,100,20,2010-01-01,7210,1372,0.19,0.553,0.133,88.98,1.29,6.41,0.697,0.594,31.47,-11.48,0.667,,
2025-08-15 13:59:17,"Overnight,3day,Last10,First20",True,True,120.0,exponential,0.05,200.0,1.0,0.1,0.1,0.65,1000,100,20,2010-01-01,7210,1372,0.19,0.553,0.133,88.98,1.29,6.41,0.697,0.594,31.47,-11.48,0.667,,
2025-08-15 14:10:27,"Overnight,3day,Last10,First20",True,True,30.0,exponential,0.1,100.0,1.0,0.1,0.1,0.65,1000,100,20,2010-01-01,7260,1920,0.264,0.548,0.128,88.26,1.28,6.43,0.689,0.652,26.84,-18.79,0.833,,
2025-08-15 14:10:39,"Overnight,3day,Last10,First20",True,True,85.0,exponential,0.1,100.0,1.0,0.1,0.1,0.65,1000,100,20,2010-01-01,7235,1780,0.246,0.539,0.119,109.21,1.52,7.04,0.746,0.611,31.21,-18.19,0.667,,
2025-08-15 14:10:50,"Overnight,3day,Last10,First20",True,True,140.0,exponential,0.1,100.0,1.0,0.1,0.1,0.65,1000,100,20,2010-01-01,7210,1387,0.192,0.55,0.13,90.97,1.32,6.42,0.712,0.623,37.76,-8.92,0.833,,
2025-08-15 14:11:02,"Overnight,3day,Last10,First20",True,True,195.0,exponential,0.1,100.0,1.0,0.1,0.1,0.65,1000,100,20,2010-01-01,7285,1543,0.212,0.556,0.136,121.48,1.74,6.33,0.95,0.614,36.0,-10.03,0.667,,
2025-08-15 14:11:13,"Overnight,3day,Last10,First20",True,True,250.0,exponential,0.1,100.0,1.0,0.1,0.1,0.65,1000,100,20,2010-01-01,7260,2291,0.316,0.535,0.115,118.53,1.65,8.28,0.689,0.625,43.94,-18.65,0.667,,
